Gunboat	54000 71500 87000 105000
Landing Craft	29000 47000 92000 135000
Artillery	69500 101500 525000 1200000
Barrage	76500 101500 875000 1350000
Bombardier	135500 164000 198500 270000
Boom Cannon	89000 173500 210000 243500
Boom Mine	29000 56500 103500 150000
Cannon	34500 67000 133000 195000
Cpt. Everspark	154000 186500 448000 1250000
Critters	130500 158000 173500 210000
Cryoneer	127000 153500 198500 240000
Dr. Kavan	95500 139500 186000 225000
Flamethrower	41500 74000 146500 195000
Flare	84000 92000 111500 135000
Grenadier	89000 108000 153500 225000
Heavy	63500 93000 123000 180000
Heavy Choppa	135500 164000 198500 270000
Hidden Warrior	57500 84000 123000 195000
Machine Gun	53000 77500 123000 180000
Medic	98000 118500 169000 225000
Medkit	58000 84500 102500 150000
Mine	23000 41500 81500 180000
Mortar	32000 68500 124000 180000
Pvt. Bullit	225500 272500 600000 1330000
Rifleman	58000 84000 112500 165000
Rocket Choppa	135500 164000 198500 270000
Rocket Launcher	250000 500000 1235000 1800000
Scorcher	135500 164000 198500 270000
Seeker	135500 164000 198500 270000
Sgt. Brick	114500 152500 203000 270000
Shock Bomb	146000 161000 177500 195000
Shock Launcher	106000 179500 434000 525000
Shock Mine	45000 74500 109000 150000
Smoke Screen	123000 149000 163500 180000
Sniper Tower	58500 77500 149000 180000
Tank	86500 115500 169000 240000
Zooka	82500 110000 133000 210000
